접수일,처리부서,접수번호,청구제목,청구내용,결정구분,처리기간
2022-04-07,해솔시 문화체육과,FOI-2022-00252,푸른마루 교차로 주변 가로수 관리 현황 및 병해충 방제 기록 청구 (252호),"출근길에 매일 지나가는 푸른마루 교차로 주변 가로수가 최근 여러 그루에서 잎사귀가 누렇게 변하거나 줄기에 이상이 보이는 것이 신경 쓰입니다. 가로수 종류, 식재 시기, 병해충 방제 일정 및 사용 농약 종류와 농도 등에 관한 기록을 요청합니다. 친환경 관리 방안이 있는지 여부도 궁금합니다.",비공개,1
2024-05-09,가람시 새빛구 문화체육과,FOI-2024-00253,열린마을 공원 생태습지 복원 사업 사업비 집행 내역 청구 (253호),"열린마을 공원 내 생태습지 복원 사업을 추진한다고いて 지역사회에서 이야기가 있었습니다. 해당 사업의 전체 사업비 규모, 단계별 집행 내역, 시공 업체 선정 기준 및 평가 점수, 설계 변경 사항 등 재정 운영 전반에 관한 기록을 청구합니다.",공개,10
2023-01-15,가람시 새빛구 문화체육과,FOI-2023-00254,가온로 보행구간 불법 주정차 단속 현황 및 과태료 부과 기록 청구 (254호),"가온로 보행구간에서 مستمر 발생하는 불법 주정차로 인해 보행자 안전이 위협받고 있습니다. 최근 6개월간 해당 구간의 불법 주정차 단속 실적, 단속 시간대 및 지역パターン, 과태료 부과 현황 등에 관한 통계 자료를 공개해 주시면 지역 행정 개선에 기여할 수 있을 것입니다.",부분공개,20
2024-12-17,미래군 공원녹지과,FOI-2024-00255,새빛시장 주변 공원 음주 및 흡연 단속 활동 내역 청구 (255호),"새빛시장 주변 공원이 최근 야간에 음주 흡연 이용자가 늘면서 환경이 열악해지고 있습니다. 해당 공원에서 시행된 음주 및 흡연 단속 일시, 횟수, 계도 조치 내용과 단속 위반 적발 건수 등에 관한 기록을 요청합니다. 단속 인력 배치 계획과 단속 기준도 알려주시기 바랍니다.",부분공개,10
2023-09-11,누리시 바른구 문화체육과,FOI-2023-00256,도담천 산책로 야간 조명 시설 설치 및 유지관리 현황 청구 (256호),"일찍 퇴근해도 도담천 산책로가 어두워서 밤에 산책하기 어렵습니다. 현재 산책로 조명 시설 현황, 야간 조명 가동 시간, 전구 교체 주기, 전광판 설치 위치 및 콘텐츠, 전력 사용량 등에 관한 기록을 공개해 주시면 안전한 야간 산책 환경 조성을 위한 제안도 할 수 있을 것입니다.",공개,14
2023-03-25,해솔시 문화체육과,FOI-2023-00257,한울초 주변 통학로 공원 녹지 확충 계획에 관한 정보 공개 청구 (257호),"한울초등학교 주변 통학로에 녹지가 부족하여 여름철 폭염 시 어린아이들이 그늘 없이 걸어야 하는 상황입니다. 학교 주변 공원 및 녹지 확충 계획, 토지 소유 현황, 사업 추진 일정, 예산 규모 등에 관한 기록을 청구합니다. 주민 의견 수렴 절차가 있었는지도 알려주시기 바랍니다.",부분공개,7
2024-09-22,온빛시 문화체육과,FOI-2024-00258,미래복합센터 인근 공원 급수전 시설 점검 및 보수 이력 청구 (258호),"미래복합센터 인근 공원 내 급수전 시설이 고장 난 지 한참 되어 주민들이 이용에 불편을 겪고 있습니다. 급수전 시설 설치 시기, 정기 점검 일시 및 결과, 보수 이력, 수선 공사비 지출 내역 등에 관한 기록을 공개해 주시면 원활한 공원 이용에 도움이 될 것입니다.",비공개,16
2025-05-16,가람시 새빛구 문화체육과,FOI-2025-00259,누리버스 정류장 주변 벤치 등 휴게시설 설치 현황 및 관리 기록 청구 (259호),"누리버스 정류장을 자주 이용하는데 주변에 앉을 벤치가 부족하고 기존 벤치도 훼손된 곳이 많습니다. 정류장 주변 벤치 등 휴게시설 설치 위치 및 수량, 시설 유형, 최근 3년간 점검 및 보수 이력, 신규 설치 계획 등에 관한 기록을 요청합니다.",부분공개,10
2024-07-13,라온군 문화체육과,FOI-2024-00260,해솔문화광장 조형물 안전 점검 및 보험 가입 현황 청구 (260호),"해솔문화광장에 설치된 조형물에서 녹이 슬고 균열이 보이는 것이 걱정됩니다. 조형물 안전 점검 실시 여부 및 일정, 점검 결과 지적사항, 안전 관련 보험 가입 여부 및 보험 금액 등에 관한 기록을 공개해 주시면 시민 안전 확보 방안 마련에 협력할 수 있을 것입니다.",공개,16
2024-11-19,라온군 공원녹지과,FOI-2024-00261,온빛도서관 앞 공원 무장애 통로 설치 계획에 관한 정보 공개 청구 (261호),"보행을 불편하게 하는 상태로 온빛도서관을 자주 방문하는데 앞 공원의 통로가하여 출입이 어렵습니다. 공원 내 무장애 통로 설치 계획, 관련 예산 규모, 추진 일정, 장애인의견 수렴 내용 등에 관한 기록을 청구합니다. 장애인이 가능한 편의시설 현황도 알려주시기 바랍니다.",부분공개,5
2022-12-20,빛솔시 아람구 문화체육과,FOI-2022-00262,라온체육센터 주변 공원 운동시설 에너지 비용 및 효율화 계획 청구 (262호),"라온체육센터 주변 공원 운동시설의 전기사용량이 걱정이 됩니다. 시설별 전력 소비량, 최근 2년간 에너지 비용 지출 내역, 에너지 효율화 계획 및 적용 기술,에너지 도입 가능성 등에 관한 기록을 공개해 주시면 환경과 경제 양면에서 도움이 될 것입니다.",공개,11
2024-05-15,세움시 맑은구 문화체육과,FOI-2024-00263,세움산업단지 입구 가로수 식재 사업 및 생육 현황 기록 청구 (263호),"세움산업단지 입구 가로수가 식재 후 제대로 뿌리내리지 못하고 쓰러지는 나무가 늘고 있습니다. 가로수 식재 사업의 전체 예산, 식재 나무 종류 및 크기, 식재 , 식재 후 생육 모니터링 결과, 고사율 등에 관한 기록을 요청합니다. 업체 선정 절차도 알고 싶습니다.",공개,6
2023-04-08,도담군 공원녹지과,FOI-2023-00264,맑은마을 커뮤니티센터 인근 공원배설물 처리 시설 현황 청구 (264호),"맑은마을 커뮤니티센터 인근 공원에서배설물 처리 시설이 부족하여 환경 위생 문제가 심각합니다. 현재 배치된 배설물 처리함 위치 및 수량, 정기 청소 일정, 사용하시는 용품 종류 및 구매 단가, 주민 민원 처리 현황 등에 관한 기록을 공개해 주시면 쾌적한 공원 환경 조성에 기여할 수 있을 것입니다.",공개,20
2022-05-02,가람시 열린구 공원녹지과,FOI-2022-00265,새봄역 환승구역 공원 조경 식물 관수 계획 및 수돗물 비용 청구 (265호),"새봄역 환승구역 공원의 조경 식물 중 상당수가 물 부족으로 시들어지고 있습니다. 식물 관수 방식, 관수 용수 원 및 수량, 최근 1년간 수돗물 사용량 및 비용 지출, 우수 계획 등에 관한 기록을 요청합니다. 관수 자동화 시설 도입 계획도 알려주시기 바랍니다.",부분공개,7
2024-04-28,예담시 늘품구 문화체육과,FOI-2024-00266,가람공공청사 주변 공원emergency 대피 경로 및 안전 시설 현황 청구 (266호),"가람공공청사 주변 공원이 Civic 대피 장소로 지정되어 있을 것으로 생각됩니다. 해당 공원의 emergency 대피 경로, 대피 안내 표지판 위치, emergency 대피 시설 현황, 인근 대피소 연결 경로, 주민 대피 훈련 실시 여부 등에 관한 기록을 공개해 주시면 대비에 협조할 수 있을 것입니다.",부분공개,14
2024-08-22,가람시 열린구 문화체육과,FOI-2024-00267,한들동 생활권 근린공원시설 안전점검 및 계획 청구 (267호),"한들동 생활권의 근린공원 놀이시설이 여러 해되어 안전이 걱정됩니다. 시설별 설치 시기, 안전 점검 실시 현황, 안전 점수 또는 등급, 또는 교체 계획 및 예산, 놀이시설 이용 인원 통계 등에 관한 기록을 청구합니다. 최근 사고 발생 여부도 알려주시기 바랍니다.",부분공개,6
2023-05-03,미래군 문화체육과,FOI-2023-00268,미르로 교차로 주변 가로수 전지 pruning 작업 일정 및 방법 기록 청구 (268호),"미르로 교차로 주변 가로수가 너무 무성하게 잘려 불쾌한 느낌입니다. 가로수 전지 pruning 작업 계획, 작업 일정, 작업 방법 및, 작업 수행 기관, 주민 사전 안내 여부, 전지 후 식물 생육 영향 평가 등에 관한 기록을 요청합니다. 친환경 전지 방법 도입 계획도 있는지 궁금합니다.",비공개,18
2023-03-24,여울시 단비구 문화체육과,FOI-2023-00269,너울천 산책로wc 시설 설치 및 청소 위탁 용역 내용 청구 (269호),"너울천 산책로를 산책할 때wc 시설이 부족하고 청소가 잘 안 되는 것이 불편합니다. 산책로wc 시설 위치 및 수량, 청소 위탁 용역 업체, 계약 기간 및 용역비, 청소 품질 검사 기준 및 결과, 이용자 만족도 조사 결과 등에 관한 기록을 공개해 주시면 쾌적한 산책로 환경 개선에 기여할 수 있을 것입니다.",부분공개,7
2023-03-12,누리시 바른구 문화체육과,FOI-2023-00270,빛솔광장 일대 공원 미세먼지 측정 및 환기 시설 현황 청구 (270호),"빛솔광장 일대 공원에서 미세먼지가 높은 날 공원 이용이 어렵습니다. 공원 내 미세먼지 측정 및 실시간 공개 여부, 측정 데이터, 공원 주변 환기 시설 또는 바람길 조성 현황, 미세먼지 저감 녹지 배치 계획 등에 관한 기록을 요청합니다. 대기 환경 기준 여부도 알려주시기 바랍니다.",비공개,15
2024-10-06,가람시 새빛구 문화체육과,FOI-2024-00271,샘물동 생활권 공원 내 놀이터 분기별 이용객 수 통계 기록 청구 (271호),"공원을 자주하는데 놀이터 이용객 수가 어느 정도인지 궁금합니다. 최근 2년간 분기별 놀이터 이용객 수 통계, 연령대별 이용 비율, 계절별 이용 추이, 주말과 평일 이용 차이 등에 관한 기록을 공개해 주시면 놀이터 환경 개선에 주민 목소리를 반영할 수 있을 것입니다.",부분공개,20
2022-03-04,도담군 공원녹지과,FOI-2022-00272,열린마을 공원 내 폭우 시 배수 시설 기능 점검 결과 청구 (272호),"지난 태풍 시 열린마을 공원에서 우수 침수가 발생하여 불편을 겪었습니다. 배수 시설 설치 현황, 폭우 시 배수 능력, 최근 점검 실시 여부 및 결과, 침수 피해 복구 내용, 향후 개선 방안 및 예산 등에 관한 기록을 요청합니다. 우수 유출 지도도 있으면 알려주시기 바랍니다.",부분공개,2
2022-12-23,온빛시 공원녹지과,FOI-2022-00273,가온로 보행구간 공원 유해 제거 작업 실적 청구 (273호),"가온로 보행구간 공원에서 독성이나 가시가 있는 유해 식물pecies이 늘어나고 있습니다. 유해 식물 파악 현황, 제거 작업 실시 일시 및 범위, 제거 방법, 제거 후 재식재 계획, 주민 민원 처리 경과 등에 관한 기록을 공개해 주시면 안전한 공원 환경 조성에 협조할 수 있을 것입니다.",부분공개,18
2023-12-18,예담시 늘품구 공원녹지과,FOI-2023-00274,도담천 산책로 장애인 이용 편의시설 설치 및 운영 현황 청구 (274호),"휠체어를 이용하는 친인척이 도담천 산책로를 방문하고 싶어합니다. 산책로의 장애인 이용 편의시설 종류 및 위치, 경사도, 휴게 시설 접근성, 휠체어 대여 서비스 여부, 장애인 이용 만족도 조사 결과 등에 관한 기록을 요청합니다. 다가오는 시설 개선 계획도 알려주시기 바랍니다.",부분공개,12
2024-11-02,여울시 단비구 문화체육과,FOI-2024-00275,새빛시장 주변 공원 조명 교체 공사 계획 및 업체 선정 근거 청구 (275호),"새빛시장 주변 공원의 야간 조명이 너무 어두워 밤에 Marketplace으로 가는 길이합니다. 조명 교체 공사 계획, 공사 예산, 시행 일정, 적용할 조명 기구 유형 및 사양, 업체 선정 방식 및 평가 기준, 주변 주민 의견 수렴 경과 등에 관한 기록을 청구합니다.",공개,4
2023-08-07,해솔시 건축허가과,FOI-2023-00276,샘물동 생활권 재개발 공원 조경 설계 도서 청구 (276호),전직 조경원 경력을 활용하기 위해 샘물동 생활권 재개발 구역 내 공원 조경 설계도를 확인하고자 합니다. 식목 배치 및 유지관리 계획을 참고하여 취업에 도움이 될 정보 요청합니다.,부분공개,18
2022-07-15,새봄시 한울구 도시계획과,FOI-2022-00277,재개발 후 임대주택 공급 계획 및 신청 자격 안내 청구 (277호),"현재 구직 중인 상태로, 재개발 후 공급 예정인 임대주택의 위치·규모·임대료와 신청 자격을 알고 싶습니다. 특히 기타3세대 가구 해당 여부를 확인 부탁드립니다.",공개,13
2022-05-16,예담시 늘품구 도시계획과,FOI-2022-00278,샘물동 생활권 재개발 추진 일정 및 주민 이주 계획 청구 (278호),재개발 사업의 추진 단계별 일정과 기존 주민의 이주 계획 일체를 확인하고 싶습니다. 이주 시 지원 사항과 임시 거주지 배정 기준도 알려주시기 바랍니다.,공개,4
2024-03-10,새봄시 한울구 도시계획과,FOI-2024-00279,재개발 구역 조경 식목 종류 및 녹지율 관련 자료 청구 (279호),조경원으로서 재개발 구역의 식목 종류와 녹지율 데이터를 요청합니다. 환경 부하 감소 효과를 분석하는 데 참고할 수 있는 정보를 제공해 주시기 바랍니다.,부분공개,12
2024-02-28,온빛시 도시계획과,FOI-2024-00280,재개발 관련 구직 지원 연계 사업 안내 청구 (280호),재개발과 연계된 구직 지원 프로그램을 알고 싶습니다. 특히 조경 관련 직종 취업 지원 사업의 신청 조건과 절차를 안내해 주시기 바랍니다.,부분공개,8
2022-11-13,가람시 열린구 건축허가과,FOI-2022-00281,연립주택 재개발 임시 거주비 지원 기준 청구 (281호),"혼자 거주하며 구직 중인 상황에서, 재개발 기간 중 임시 거주비 지원금을 받을 수 있는지 기준을 확인하고 싶습니다. 지원 금액과 신청 절차를 알려주세요.",비공개,9
2024-04-05,해솔시 건축허가과,FOI-2024-00282,재개발 보상금 산정 방식 및 내역 확인 청구 (282호),현재 거주 중인 연립주택의 재개발 보상금 산정 방식과 구체적인 내역을 요청합니다. 보상금 지급 일정과 세금 적용 기준도 포함해 주시기 바랍니다.,부분공개,15
2025-05-15,예담시 늘품구 건축허가과,FOI-2025-00283,재개발 후 임대주택 임대조건 및 계약 기간 안내 청구 (283호),"재개발 후 공급되는 임대주택의 임대료 수준과 계약 기간, 갱신 조건을 알고 싶습니다. 혼자 거주하므로 원룸 및 투룸 규모도 포함해 주세요.",비공개,17
2023-08-10,새봄시 한울구 도시계획과,FOI-2023-00284,재개발 기간 중 주거비 지원 사업 안내 청구 (284호),재개발 공사 기간 중 주거비 부담이 가중될 것으로 예상됩니다. 정부 및 지자체의 주거비 지원 사업 종류와 신청 자격을 알려주세요.,부분공개,6
2025-10-05,빛솔시 아람구 도시계획과,FOI-2025-00285,재개발 관련 민원 처리 절차 및 담당 부서 안내 청구 (285호),재개발 관련 궁금증과 민원을 처리할 수 있는 창구와 절차를 알고 싶습니다. 담당 부서 연락처와 처리 기간도 포함해 주시기 바랍니다.,비공개,1
2024-02-12,누리시 바른구 도시계획과,FOI-2024-00286,다세대주택 재개발 후 임대주택 임대료 수준 청구 (286호),"현재 구직 중인 상태로, 재개발 후 입주 가능한 임대주택의 임대료 수준을 확인하고 싶습니다. 특히 혼자 거주하므로 원룸 규모와 공용시설 이용료를 알려주세요.",부분공개,15
2025-03-18,라온군 건축허가과,FOI-2025-00287,재개발 임시 거주 지원금 지급 기준 및 신청 방법 청구 (287호),"재개발 공사으로 인해 임시로 거주지를 옮겨야 할 경우, 지원금을 받을 수 있는 기준과 신청 방법을 알려주세요. 다세대주택 주민 대상입니다.",부분공개,6
2024-11-26,빛솔시 아람구 건축허가과,FOI-2024-00288,재개발 구역 주거 안전 점검 사항 및 결과 공개 청구 (288호),재개발 구역 내 기존 다세대주택의 주거 안전 점검 결과를 확인하고 싶습니다. 특히 내진 설계와 비상구 설치 현황을 포함한 안전 관련 자료를 요청합니다.,비공개,7
2023-10-19,도담군 건축허가과,FOI-2023-00289,재개발과 연계된 취∙재취업 지원 프로그램 안내 청구 (289호),재개발과 연계하여 주방장 경력의 재취업 지원 프로그램이 있는지 확인하고 싶습니다. 직업 훈련 수당과 취업 알선 서비스를 포함해 주시기 바랍니다.,부분공개,12
2024-12-14,가람시 새빛구 건축허가과,FOI-2024-00290,재개발 일정 및 완료 후 입주 시기 안내 청구 (290호),재개발 사업의 현재 진행 단계와 최종 완료 후 입주 시기를 알고 싶습니다. 새빛시장 주변 재개발 구역의 일정을 포함해 주시기 바랍니다.,부분공개,4
2025-12-08,라온군 도시계획과,FOI-2025-00291,재개발 사업 환경 영향 평가 보고서 공개 청구 (291호),아파트 재개발 사업의 환경 영향을 평가한 보고서를 요청합니다. 대기·수질·소음 등 환경 항목의 측정 데이터와 개선 방안을 포함해 주시기 바랍니다.,공개,1
2024-11-04,가람시 새빛구 건축허가과,FOI-2024-00292,재개발 구역 내 돌봄시설 배치 계획 안내 청구 (292호),어머니와 동거하고 있어 재개발 후 돌봄시설의 위치와 규모를 확인하고 싶습니다. 어린이집·노인복지시설 등의 배치 계획을 알려주세요.,부분공개,6
2023-09-16,도담군 도시계획과,FOI-2023-00293,아파트 재개발 보상금 산정 기준 및 내역 확인 청구 (293호),현재 거주 아파트의 재개발 보상금 산정 기준과 구체적인 내역을 요청합니다. 보상금 구성 항목과 세금 공제 방법을 포함해 주세요.,부분공개,17
2022-12-23,미래군 도시계획과,FOI-2022-00294,재개발 후 관리비 책정 기준 및 예상 금액 안내 청구 (294호),재개발 완료 후 아파트 관리비의 책정 기준과 예상 금액을 알고 싶습니다. 관리비 산정 요소와 장기 수선 충당금 배분 비율을 포함해 주시기 바랍니다.,비공개,1
2025-08-04,세움시 맑은구 건축허가과,FOI-2025-00295,재개발 시공업체 선정 기준 및 시공 품질 관리 방안 청구 (295호),재개발 사업의 시공업체 선정 기준과 시공 품질 관리 방안을 알고 싶습니다. 아파트 리모델링의 공법과 자재 규격도 포함해 주세요.,부분공개,9
2023-11-28,가람시 열린구 도시계획과,FOI-2023-00296,재개발 사업 학술 연구 자료 및 조사 보고서 공개 청구 (296호),교수로서 재개발 사업의 학술적 연구 자료와 조사 보고서를 요청합니다. 지역 사회 변화 예측 모델과 주거 환경 평가 방법을 포함해 주시기 바랍니다.,부분공개,5
2022-12-07,빛솔시 아람구 건축허가과,FOI-2022-00297,재개발 후 지역 사회 변화 예측 보고서 청구 (297호),"재개발 사업이 지역 사회에 미치는 영향을 예측한 보고서를 요청합니다. 인구 구성 변화, 상권 동향, 교통량 변동내용을 포함해 주세요.",공개,2
2025-09-16,가람시 새빛구 건축허가과,FOI-2025-00298,재개발 비용 분담 방식 및 재정 지원 근거 공개 청구 (298호),재개발 사업의 비용 분담 방식과 국가·지자체 재정 지원 근거를 알고 싶습니다. 주민 부담금 산정 기준도 포함해 주시기 바랍니다.,부분공개,11
2023-05-10,라온군 건축허가과,FOI-2023-00299,재개발 추진 주체 운영 계획 및 실적 공개 청구 (299호),재개발 추진 주체의 운영 계획과 과거 실적 자료를 요청합니다. 추진 주체의 조직 구성과 주요 사업 성과를 포함해 주세요.,공개,17
2025-04-20,여울시 단비구 도시계획과,FOI-2025-00300,재개발 관련 규칙 및 법적 근거 안내 청구 (300호),재개발 사업의 추진 근거가 되는 규칙과 법적 근거를 알고 싶습니다. 관련 조례와 고시 사항을 포함해 주시기 바랍니다.,부분공개,16
2025-05-26,빛솔시 아람구 복지정책과,FOI-2025-00301,한울초 주변 통학로 보도블록 교체 공사 안전 기준서 (301호),한울초 주변 통학로에서 보도블록 교체 공사가 진행 중이다. 안전펜스 설치 기준과 공사 및 순찰 일정이 담긴 문서를 요청한다. 학부모로서 공사 안전관리 계획이 학교 측에 통보되었는지 확인하고 싶다.,공개,10
2023-04-10,여울시 단비구 복지정책과,FOI-2023-00302,샘물동 아파트 놀이터 시설 보수 공사 발주 내역 (302호),"거주 아파트 놀이터에서 균열 보수 공사가 진행 중이다. 공사 발주 방식과 선정 기준, 계약 금액이 어떻게 되는지 확인하고 싶다. 관리비 인상에 영향을 주는 공사이므로 투명한 내역을 알고 싶다.",부존재,14
2023-06-20,라온군 복지정책과,FOI-2023-00303,가온로 보행구간 도로포장 공사 품질검사 성적서 (303호),"가온로 보행구간 도로포장 공사가 마무리되었다. 시공 품질검사가 어떻게 진행되었는지, 검사 기준 통과 여부와 검사 기관이 어디인지 확인하고 싶다. 보행자 안전에 직접 관련된 사항이므로 알고 싶다.",부존재,14
2025-10-15,미래군 교육지원과,FOI-2025-00304,아파트 엘리베이터 교체 공사 감리업체 선정 내역 (304호),내 거주 아파트 엘리베이터 교체 공사가 진행 중이다. 감리업체 선정 방식과 감리비 책정 기준이 어떻게 되는지 확인하고 싶다.otal 비용에 영향을 주는 사항이므로 구체적인 수치를 알 필요 있다.,부분공개,11
2024-03-20,여울시 단비구 복지정책과,FOI-2024-00305,샘물동 생활권 CCTV 설치 사업 설계 도면 및 위치도 (305호),샘물동 생활권 내 CCTV 설치 사업이 계획 중이다. 설치 위치도와 사각지대 해소 방안이 담긴 설계 도면을 확인하고 싶다. 공사과 예정일을 기준으로 설치 순서가 어떻게 되는지 알고 싶다.,비공개,20
2025-06-10,미래군 복지정책과,FOI-2025-00306,지역돌봄교사 지원금 지급 기준 및 선정 절차 (306호),"현재 구직중으로서 지역돌봄교사 지원금 제도가 있는지 확인하고 싶다. 지원금 지급 기준과 신청 시기, 선정 절차가 어떻게 되는지 구체적으로 알고 싶다. 어머니와 함께 생활하며 경제적 부담이 크므로 신청 가능한지 판단하고 싶다.",부분공개,6
2024-10-13,세움시 맑은구 복지정책과,FOI-2024-00307,새봄역 환승구역 구직자 직업훈령 프로그램 운영 현황 (307호),"새봄역 환승구역 인근에 구직자를 위한 직업훈령 프로그램이 운영된다고 들었다. 현재 운영 중인 프로그램 종류와 신청 자격, 훈련 수당 지급 여부를 확인하고 싶다. 점토제품 생산기 조작 경력이 있는데 전환 가능한 프로그램이 있는지 알고 싶다.",공개,6
2025-10-05,해솔시 교육지원과,FOI-2025-00308,맑은마을 커뮤니티센터 여성 취업 지원 프로그램 내역 (308호),"맑은마을 커뮤니티센터에서 여성 우선 취업 지원 프로그램이 운영된다고 들었다. 구체적으로 어떤 프로그램이 있는지, 참여 희망 시 신청 방법과 시기, 취업 통계를 확인하고 싶다. 경제적으로 어려운 상황이라 빨리 취업해야 한다.",부분공개,17
2023-01-22,미래군 교육지원과,FOI-2023-00309,미래복합센터 인근 일자리 창출 사업 세부 계획 (309호),"미래복합센터 인근 일대에 일자리 창출 사업이 추진된다고 들었다. 어떤 종류의 일자리가 만들어지는지, 거주 지역 내 채용 계획이 있는지, 고용 조건과 급여 수준을 확인하고 싶다. 적극적으로 준비하고 싶다.",공개,10
2022-01-16,도담군 복지정책과,FOI-2022-00310,푸른마루 교차로 경력단절여성 재취업 지원사업 참여 업체 (310호),"푸른마루 교차로 인근에서 경력단절여성을 위한 재취업 지원사업이 진행된다고 들었다. 참여 업체 목록과 제공 직종, 실무 기간이 어떻게 되는지 확인하고 싶다. 제조업 경험이 있으므로 관련 업종의 참여 현황이 있는지 알고 싶다.",부분공개,10
2023-12-19,온빛시 복지정책과,FOI-2023-00311,새빛시장 주변 기술 영업직 구인 공고 현황 및 임금 수준 (311호),"새빛시장 주변 지역에서 기술 영업직 구인 공고가 얼마나 있는지, 임금 수준이 어느 정도인지 확인하고 싶다. 산업용 기계장비 관련 영업 경험이 있으므로 해당 업종의 채용 동향을 알고 싶다.",부분공개,14
2025-08-25,너울시 물빛구 복지정책과,FOI-2025-00312,한들동 생활권 청년 실업자 고용 지원금 지급 내역 (312호),"한들동 생활권에 거주하는 청년 실업자를 대상으로 한 고용 지원금 제도가 있는지 확인하고 싶다. 지원금 지급 대상 기준과 금액, 신청 알고 싶다. 장기적으로 실업 상태에 놓여 있어 지원 제도를 적극 활용하고 싶다.",부분공개,8
2024-05-31,누리시 바른구 교육지원과,FOI-2024-00313,온빛도서관 앞 청년 창업 지원 프로그램 신청 자격 (313호),"온빛도서관 앞 인근에서 청년 창업 지원 프로그램이 운영된다고 들었다. 신청 자격 조건과 지원 내용, 선정 기준이 어떻게 되는지 확인하고 싶다. 기술 영업 경력을 창업에 활용할 수 있는지 판단하고 싶다.",공개,11
2023-12-16,세움시 맑은구 복지정책과,FOI-2023-00314,라온체육센터 주변 20대 직업적성검사 서비스 제공 현황 (314호),"라온체육센터 주변 지역에서 20대를 위한 직업적성검사 서비스를 제공하는지 확인하고 싶다. 검사 제공 기관과 비용, 예약 방법을 알고 싶다. 구직 방향을 설정하는 데 도움이 될 것 같아 확인하고 싶다.",공개,4
2022-11-01,누리시 바른구 복지정책과,FOI-2022-00315,미르로 교차로 내일배움카드 발급 신청 절차 및 사용 범위 (315호),"미르로 교차로 인근 내일배움카드 발급 신청 절차와 사용 범위를 확인하고 싶다. 카드 발급까지 소요 기간과 훈련비 지원 한도, 사용 가능한 훈련 기관 목록이 있는지 알고 싶다. 확실한 정보를 얻고 싶다.",공개,6
2022-10-04,도담군 교육지원과,FOI-2022-00316,가람공공청사 인근 학교 급식 식단 및 영양사 배치 현황 (316호),가람공공청사 인근 학교의 급식 식단 구성과 영양사 배치 현황을 확인하고 싶다. 자녀가 학교 급식을 이용하므로 위생 관리 상태와 영양 균형 여부를 알고 싶다. 알레르기 대응 체계가 어떻게 되는지도 확인하고 싶다.,공개,1
2022-08-05,미래군 교육지원과,FOI-2022-00317,누리버스 정류장 주변 방과후돌봄교실 운영 시간 및 이용 안내 (317호),누리버스 정류장 주변 방과후돌봄교실 운영 시간과 이용 절차를 확인하고 싶다. 맞벌이 가구로서 방과후 돌봄이 필수적이므로 프로그램 내용과 이용 비용을 알고 싶다. 등록 시 필요한 서류도 확인하고 싶다.,부분공개,19
2022-01-19,새봄시 한울구 교육지원과,FOI-2022-00318,열린마을 공원 놀이시설 안전 점검 기록 및 보수 계획 (318호),"열린마을 공원의 놀이시설 안전 점검 기록이 어떻게 되는지 확인하고 싶다. 최근 점검 일시와 내용, 보수 계획 및 완료 예정일을 알고 싶다. 자녀가 놀이터를 자주 이용하므로 안전 상태가 걱정된다.",비공개,10
2024-09-14,예담시 늘품구 교육지원과,FOI-2024-00319,도담천 산책로 통학로 안전시설물 설치 현황 및 관리 주체 (319호),도담천 산책로 주변을 학생들이 통학로로 이용하는 것으로 안다. 안전시설물 설치 현황과 유지 관리 주체가 어디인지 확인하고 싶다. 야간 조명 시설과 CCTV이 어떤지도 알고 싶다.,부분공개,14
2023-12-08,너울시 물빛구 교육지원과,FOI-2023-00320,한울초등학교 학부모 지역사회돌봄 연계 프로그램 참여 현황 (320호),"한울초등학교에서 지역사회돌봄 연계 프로그램을 운영한다고 들었다. 프로그램 종류와 참여 아동 수, 운영 기관 및 담당자 정보를 확인하고 싶다. 맞벌이 가구로서 연계 서비스 이용 가능 여부를 판단하고 싶다.",부분공개,1
2024-10-19,예담시 늘품구 교육지원과,FOI-2024-00321,맑은마을 아파트 단지 내 공용시설 점검 일정 및 기준 (321호),"거주 아파트 단지 내 공용시설 정기 점검 일정이 어떻게 되는지 확인하고 싶다. 놀이터, 주차장,, エ레베ーター 점검 주기와 점검 기관, 기준 합격 여부를 알고 싶다. 단지 내자들의 안전과 직결되는 문제이므로 구체적인 일정이 있는지 확인하고 싶다.",공개,8
2024-07-18,가람시 열린구 복지정책과,FOI-2024-00322,세움산업단지 입구 근린생활시설 관리 위탁 계약 내용 (322호),"세움산업단지 입구 근린생활시설의 관리 위탁 계약 내용과 업체 선정 방식을 확인하고 싶다. 계약 기간과 위탁 범위, facility 관리비 책정 근거가 어떻게 되는지 알고 싶다.관리원으로서 유사 시설 관리 사례를 참고하고 싶다.",공개,17
2022-06-12,너울시 물빛구 복지정책과,FOI-2022-00323,새빛시장 주변 상가시설 점검 및 보수 이력 (323호),"새빛시장 주변 상가의시설 점검 및 보수 이력을 확인하고 싶다. Elevator, 비상계단, 주차장 관리 상태와 처리 현황을 알고 싶다. 근무지인 건물 주변 환경이 어떻게 관리되는지 구체적으로 확인하고 싶다.",공개,9
2025-09-20,해솔시 교육지원과,FOI-2025-00324,아파트 커뮤니티센터 시설 운영 규정 및 대관 절차 (324호),"거주 아파트 커뮤니티센터 시설 운영 규정과 대관 절차,사용료를 확인하고 싶다. Residents 모임을 위해 시설 이용 가능 여부와 예약 방법을 알고 싶다. 보증금 제도와 시설 시 배상 기준도 확인하고 싶다.",부분공개,20
